,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,intensity_dist,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,intensities,mean,variance,skew,kurtosis
34,100,60,200,None,0.5,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.6280315000000001,0.00591319750775,0.984137437159091,1.1157938669770724
35,100,60,200,None,0.6,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.6251785,0.015812785637749998,0.4037768824099708,-0.35928627595657714
36,100,60,200,None,0.6,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.655081,0.012107223439,0.5419578744083173,-0.061772559618871625
37,100,60,200,None,0.6,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.607325,0.016368879375,0.507029830136223,-0.3065045647970184
38,100,60,200,None,0.6,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.629343,0.012084643350999999,0.521018635029201,-0.1502039098245418
39,100,60,200,None,0.6,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.6092110000000001,0.016102762479,0.5298975762397142,-0.3336460237695258
40,100,60,200,None,0.6,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.655845,0.012116485975,0.5330797969620318,-0.09634947629784651
41,100,60,200,None,0.6,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.5941740000000001,0.017496837724,0.5068588200832621,-0.3053356350427978
42,100,60,200,None,0.7,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.5402285,0.037235710287749996,0.20799258158035303,-0.8209321947733015
43,100,60,200,None,0.7,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.5600915,0.03173297912775,0.2721950535550832,-0.6950464865978501
44,100,60,200,None,0.7,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.5350855,0.037831555189749996,0.22652026298517078,-0.8181499268577461
45,100,60,200,None,0.7,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.54477,0.0350539121,0.23732349302678937,-0.8010973374561372
